date,season,home_team_name,away_team_name,home_goals_full,away_goals_full,result,home_goals_half,away_goals_half,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,Display_Order,league,home_team_id,away_team_id
2025-01-16,2024/25,Ipswich Town,Brighton & Hove Albion,0,2,AWAY_TEAM,0.0,1.0,A,T Harrington,5.0,11.0,3.0,5.0,13.0,14.0,1.0,9.0,2.0,2.0,0.0,0.0,20250116,Premier League,0,45
2025-01-16,2024/25,Man United,Southampton,3,1,HOME_TEAM,0.0,1.0,A,J Brooks,23.0,13.0,9.0,5.0,7.0,10.0,4.0,4.0,1.0,3.0,0.0,0.0,20250116,Premier League,1,32
2025-01-15,2024/25,Everton,Aston Villa,0,1,AWAY_TEAM,0.0,0.0,D,S Barrott,10.0,11.0,3.0,3.0,17.0,10.0,8.0,5.0,2.0,1.0,0.0,0.0,20250115,Premier League,2,29
2025-01-15,2024/25,Leicester,Crystal Palace,0,2,AWAY_TEAM,0.0,0.0,D,A Madley,21.0,9.0,4.0,4.0,7.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,20250115,Premier League,3,19
2025-01-15,2024/25,Newcastle,Wolves,3,0,HOME_TEAM,1.0,0.0,H,D England,17.0,13.0,5.0,7.0,10.0,13.0,4.0,2.0,0.0,2.0,0.0,0.0,20250115,Premier League,4,13
2025-01-15,2024/25,Arsenal,Tottenham,2,1,HOME_TEAM,2.0,1.0,H,S Hooper,14.0,10.0,4.0,2.0,16.0,9.0,10.0,4.0,3.0,1.0,0.0,0.0,20250115,Premier League,5,30
2025-01-15,2024/25,Blackburn,Portsmouth,3,0,HOME_TEAM,0.0,0.0,D,F Hallam,13.0,11.0,6.0,2.0,15.0,19.0,5.0,6.0,1.0,3.0,0.0,0.0,20250115,English Second,6,38
2025-01-14,2024/25,Nott'm Forest,Liverpool,1,1,DRAW,1.0,0.0,H,C Kavanagh,6.0,23.0,3.0,7.0,7.0,10.0,0.0,9.0,2.0,1.0,0.0,0.0,20250114,Premier League,7,15
2025-01-14,2024/25,Plymouth,Oxford,1,1,DRAW,0.0,1.0,A,S Allison,11.0,8.0,2.0,3.0,8.0,10.0,6.0,3.0,1.0,1.0,0.0,0.0,20250114,English Second,8,43
2025-01-14,2024/25,Cardiff,Watford,1,1,DRAW,0.0,0.0,D,O Langford,12.0,4.0,4.0,2.0,8.0,14.0,7.0,3.0,1.0,2.0,0.0,0.0,20250114,English Second,9,28
2025-01-14,2024/25,West Ham,Fulham,3,2,HOME_TEAM,2.0,0.0,H,C Pawson,4.0,21.0,3.0,5.0,9.0,18.0,0.0,3.0,3.0,3.0,0.0,0.0,20250114,Premier League,10,17
2025-01-14,2024/25,Chelsea,Bournemouth,2,2,DRAW,1.0,0.0,H,R Jones,26.0,7.0,10.0,3.0,15.0,16.0,9.0,3.0,2.0,3.0,0.0,0.0,20250114,Premier League,11,18
2025-01-14,2024/25,Brentford,Man City,2,2,DRAW,0.0,0.0,D,A Taylor,18.0,21.0,6.0,8.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,20250114,Premier League,12,31
2025-01-06,2024/25,Wolves,Nott'm Forest,0,3,AWAY_TEAM,0.0,2.0,A,P Bankes,13.0,11.0,6.0,3.0,10.0,8.0,5.0,3.0,1.0,2.0,0.0,0.0,20250106,Premier League,13,7
2025-01-06,2024/25,QPR,Luton,2,1,HOME_TEAM,1.0,1.0,D,A Davies,15.0,18.0,6.0,4.0,10.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,20250106,English Second,14,37
2025-01-05,2024/25,Liverpool,Man United,2,2,DRAW,0.0,0.0,D,M Oliver,19.0,13.0,6.0,4.0,10.0,13.0,6.0,9.0,2.0,4.0,0.0,0.0,20250105,Premier League,15,1
2025-01-05,2024/25,Sunderland,Portsmouth,1,0,HOME_TEAM,1.0,0.0,H,T Bramall,24.0,6.0,8.0,1.0,9.0,10.0,7.0,3.0,1.0,2.0,0.0,1.0,20250105,English Second,16,38
2025-01-05,2024/25,Fulham,Ipswich,2,2,DRAW,0.0,1.0,A,D Bond,15.0,7.0,4.0,3.0,10.0,14.0,9.0,2.0,1.0,5.0,0.0,0.0,20250105,Premier League,17,40
2025-01-04,2024/25,Bournemouth,Everton,1,0,HOME_TEAM,0.0,0.0,D,J Brooks,19.0,9.0,8.0,0.0,15.0,14.0,9.0,3.0,2.0,2.0,0.0,0.0,20250104,Premier League,18,2
2025-01-04,2024/25,Crystal Palace,Chelsea,1,1,DRAW,0.0,1.0,A,T Robinson,13.0,15.0,6.0,1.0,9.0,12.0,6.0,6.0,0.0,2.0,0.0,0.0,20250104,Premier League,19,11
2025-01-04,2024/25,Stoke,Plymouth,0,0,DRAW,0.0,0.0,D,D Whitestone,18.0,2.0,3.0,1.0,13.0,11.0,6.0,3.0,1.0,2.0,0.0,0.0,20250104,English Second,20,8
